pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
have one set of	need a new set of	Mexico have one set of rules	Mexico need a new set of rules	1 2 2 1 1	13 6 11 15 25
start on	play on	benefits start on the first of the month	benefits play on the first of the month	5 5 6 4 3	1 21 32 23 4
do all of	keep up	the music do all of the work	the music keep up the work	3 4 1 5 5	0 51 1 22 4
await	prepare for	Other co-defendants await trial	Other co-defendants prepare for trial	6 5 5 5 5	16 17 18 19 25
divide	concentrate	Players divide their forces	Players concentrate their forces	1 6 1 2 2	34 27 29 36 45
be engraved on	be etched into	His name be engraved on the village War Memorial	His name be etched into the village War Memorial	1 6 6 6 6	47 42 21 20 49
be persecuted in	escape from	Christians be persecuted in this country	Christians escape from this country	2 1 2 1 6	51 1 3 32 4
beat	face	Sox beat the Yankees	Sox face the Yankees	1 1 3 1 3	44 13 6 15 25
do to	take over	your governments do to your children	your governments take over your children	6 3 5 2 3	16 14 17 10 25
have thousand of	have a collection of	Some men have thousand of reasons	Some men have a collection of reasons	6 6 6 5 5	16 51 2 22 49
be critical to	be an important part of	Peer review be critical to the standards	Peer review be an important part of the standards	1 5 5 5 6	16 17 18 19 25
campaign for	advocate	Civilians campaign for office	Civilians advocate office	4 2 6 6 5	7 11 50 8 9
have all type of	have a full range of	The site have all type of gifts	The site have a full range of gifts	5 5 1 6 5	39 5 43 12 6
refund	be reimbursed for	The store refund your money	The store be reimbursed for your money	6 5 3 6 6	47 38 42 21 49
reduce	cut down on	The administration reduce training	The administration cut down on training	6 6 6 6 7	30 31 3 33 52
put on	steal	Many churches put on plays	Many churches steal plays	2 6 2 2 1	40 44 17 24 25
owe to	come to know	Americans owe to these soldiers	Americans come to know these soldiers	3 2 3 2 6	41 22 21 37 49
request	qualify for	those individuals request documentation	those individuals qualify for documentation	3 2 1 6 4	31 54 37 32 10
want to update	look to add to	clients want to update their wardrobe	clients look to add to their wardrobe	6 6 6 6 5	30 31 3 32 33
touch	tug at	Vadim touch his head	Vadim tug at his head	3 4 2 3 6	38 14 17 18 19
be a great way to get	be a great way to increase	Forums be a great way to get knowledge	Forums be a great way to increase knowledge	3 6 6 6 6	38 16 21 18 19
take on	be willing to take on	Robert Gibbs take on Sean Hannity	Robert Gibbs be willing to take on Sean Hannity	5 5 6 5 3	39 5 43 12 48
lay my hand on	scratch	him lay my hand on his back	him scratch his back	1 1 2 2 3	34 27 29 23 45
oblige to	rewrite to	Joe oblige to him	Joe rewrite to him	3 1 3 3 5	38 47 42 18 19
be understood as	be referred to as	signals be understood as sound	signals be referred to as sound	1 5 6 5 4	47 41 51 2 22
be installed in	be removed from	Anchors be installed in areas	Anchors be removed from areas	1 1 2 1 1	55 41 0 51 2
start from	be set to begin at	The story start from these questions	The story be set to begin at these questions	6 6 5 6 4	13 6 11 24 25
need to repeat	continue to repeat	Users need to repeat this cycle	Users continue to repeat this cycle	6 3 3 5 5	47 0 41 51 2
come from	come of	the Truth come from a book	the Truth come of a book	6 5 6 6 6	47 0 16 51 22
enjoy read about	blog about	Ive enjoy read about your trip	Ive blog about your trip	3 6 3 2 5	38 47 42 18 19
log into	be logged on to	players log into the MUD	players be logged on to the MUD	6 6 5 2 5	34 27 36 56 45
recycle	safeguard	residents recycle clothing	residents safeguard clothing	1 1 1 1 5	30 31 3 32 33
submit via	be submitted in	Information submit via forms	Information be submitted in forms	6 6 6 6 5	34 27 29 23 45
own a number of	have a large collection of	Time Warner own a number of cable networks	Time Warner have a large collection of cable networks	5 6 5 6 5	39 43 12 15 48
get to know	make friend with	Students get to know their communities	Students make friend with their communities	1 4 4 6 5	34 27 29 23 45
be drawn to	be focused on	Charlie Brown be drawn to Snoopy	Charlie Brown be focused on Snoopy	6 4 5 4 2	0 1 2 21 3
look over at	look at	Lisa look over at Brad	Lisa look at Brad	1 6 5 6 5	43 44 35 13 45
find a lot of	find lot of	youll find a lot of sites	youll find lot of sites	5 5 6 6 6	39 5 43 44 12
burn	standardize	The Israelis burn their homes	The Israelis standardize their homes	1 1 2 1 4	51 2 21 32 4
be visited by	turn to	Evan be visited by God	Evan turn to God	3 1 2 2 5	38 16 17 18 19
be brought back to	be forced to return to	his body be brought back to Florence	his body be forced to return to Florence	5 5 5 6 1	39 6 7 8 9
test	try	gamers test their skills	gamers try their skills	6 6 6 5 7	16 17 18 19 25
be normal for	be tough for	the water be normal for wells	the water be tough for wells	1 2 1 1 1	55 39 57 34 47
be sold throughout	be imported into	These dogs be sold throughout America	These dogs be imported into America	7 2 3 4 3	47 0 1 22 2
feature	offer	The kitchen feature many cabinets	The kitchen offer many cabinets	6 6 6 6 6	47 16 21 18 49
be scored in	be scored by	the tests be scored in November	the tests be scored by November	5 6 6 5 3	39 43 44 12 15
come ask for	be afraid to ask for	somebody come ask for his assistance	somebody be afraid to ask for his assistance	1 2 1 2 2	58 11 50 8 9
harangue	lose the respect of	the girl harangue her father	the girl lose the respect of her father	1 2 2 2 5	16 17 10 48 25
make of	be built out of	the cross make of cloth	the cross be built out of cloth	5 5 6 6 5	6 7 50 8 9
choose	name	Most people choose MySpace	Most people name MySpace	6 3 3 2 2	47 51 1 2 23
be spoken about	be painful to	the truth be spoken about him	the truth be painful to him	3 5 2 1 5	22 3 23 52 4
spend a lot of	be a waste of	others spend a lot of money	others be a waste of money	2 2 3 2 6	41 0 22 21 49
be accepted by	be made by	the Old Testament be accepted by the Catholic Church	the Old Testament be made by the Catholic Church	3 2 6 3 2	38 41 16 42 37
turn their back on	forsake	Windows users turn their back on Mac OS X	Windows users forsake Mac OS X	5 6 5 6 5	14 50 9 8 48
approach	run to	Safety and Security Minister Nathi Mthethwa approach President Kgalema Motlanthe	Safety and Security Minister Nathi Mthethwa run to President Kgalema Motlanthe	6 5 5 5 5	41 0 2 22 49
be perfect on	be bad on	My score be perfect on this one	My score be bad on this one	2 2 1 1 2	5 14 50 8 48
be up on	be put up on	The story be up on the website	The story be put up on the website	6 2 2 5 5	41 22 37 20 49
work as	continue to work as	Theophylline work as a bronchodilator	Theophylline continue to work as a bronchodilator	5 5 2 7 5	0 1 3 23 4
be get	move with	the UK be get a skills shortage	the UK move with a skills shortage	6 2 6 1 6	16 31 37 32 10
answer a lot of	ask lot of	This movie answer a lot of those questions	This movie ask lot of those questions	6 2 3 2 5	47 51 21 37 49
be by	be available by	feedback be by email	feedback be available by email	5 6 5 6 6	5 7 20 10 8
be elected to	be a member of	Rome be elected to the position	Rome be a member of the position	2 4 5 5 5	41 0 2 22 20
play a role in	play a key role in	stress play a role in depression	stress play a key role in depression	6 6 6 6 5	44 13 6 11 25
stare at	gaze at	The girl stare at him	The girl gaze at him	1 1 5 6 5	34 27 35 29 36
disappear to	vanish to	The clerk disappear to the back	The clerk vanish to the back	5 6 6 4 5	39 34 38 47 5
do more on	be more on	Japan do more on security	Japan be more on security	6 5 6 7 6	16 31 37 10 32
engage in	be guilty of	Others engage in applied research	Others be guilty of applied research	3 2 1 2 1	13 11 15 48 25
add to	reveal to	the Lord add to the church	the Lord reveal to the church	1 1 2 2 2	34 27 35 29 36
be confidential in	be unauthorized in	these reports be confidential in nature	these reports be unauthorized in nature	5 6 1 2 4	26 27 28 17 29
stay	remain up	the guests stay the night	the guests remain up the night	3 4 2 3 6	0 1 2 21 4
be crucial to	be important in	oil prices be crucial to decisions	oil prices be important in decisions	5 6 4 2 5	41 22 21 37 49
end up like	feel sad for	Naruto end up like Sasuke	Naruto feel sad for Sasuke	2 3 2 1 1	5 12 14 7 15
be set up for	be formed for	The dining room tables be set up for six people	The dining room tables be formed for six people	3 5 5 5 6	38 42 18 19 10
have several problem with	make little sense to	Consumer have several problem with transmission	transmission make little sense to Consumer	1 6 6 6 3	30 31 3 32 33
be pregnant at	be ill at	Women be pregnant at the time of the survey	Women be ill at the time of the survey	3 6 3 2 5	38 47 42 18 19
marry for	wander for	Lewis marry for the first time	Lewis wander for the first time	1 1 4 6 3	30 31 3 32 33
have a love for	be fond of	My father have a love for education	My father be fond of education	6 5 6 6 6	16 14 17 10 25
help establish	help promote	information help establish trust	information help promote trust	3 6 4 6 5	38 47 18 19 20
be unsure of	change	Historians be unsure of the reason	Historians change the reason	3 2 2 3 1	39 58 7 8 9
check	need to check	Your health care professional check blood tests	Your health care professional need to check blood tests	5 1 6 5 4	39 43 44 12 15
prepare	develop	Participants prepare food	Participants develop food	5 6 6 5 4	34 27 13 36 45
want to commit	be tried for	The lady want to commit suicide	The lady be tried for suicide	2 2 3 2 5	41 51 22 37 49
be a man of	have a great sense of	Saul be a man of action	Saul have a great sense of action	5 5 5 2 6	6 7 10 11 8
vote in	boycott	the committee vote in favor of the bill	the committee boycott favor of the bill	2 1 2 1 1	6 7 11 8 9
be difficult to	prefer to	the language be difficult to him	the language prefer to him	1 1 2 1 1	12 13 14 7 15
have many benefit for	have a beneficial effect on	the partnership have many benefit for both companies	the partnership have a beneficial effect on both companies	6 6 6 6 5	34 28 35 29 36
ask to see	want to see	his relatives ask to see him	his relatives want to see him	6 6 3 6 5	30 1 3 23 33
win	lose	Boston win eight straight	Boston lose eight straight	1 1 1 1 1	34 13 36 56 45
be sold throughout	be more expensive in	These dogs be sold throughout America	These dogs be more expensive in America	2 4 1 1 5	2 22 1 52 4
please tell	please share with	these symptoms please tell your doctor	these symptoms please share with your doctor	1 6 5 7 7	43 44 6 35 45
hit the nail on	be wounded in	your post hit the nail on the head	your post be wounded in the head	3 6 6 4 6	38 47 19 20 10
have many benefit for	be essential to maintain	the partnership have many benefit for both companies	the partnership be essential to maintain both companies	5 6 6 6 5	39 34 47 38 5
want to drive	learn to drive	everybody want to drive a Porsche	everybody learn to drive a Porsche	6 3 1 2 2	34 35 29 46 36
be the second of	be the 2nd of	The loss be the second of the season	The loss be the 2nd of the season	6 6 7 7 6	5 11 50 9 48
increase over	be expected to increase in	The number of visitors increase over the years	The number of visitors be expected to increase in the years	5 5 1 5 3	39 5 43 12 48
abandon	lose	the entrepreneur abandon the property	the entrepreneur lose the property	3 5 2 4 4	51 1 3 23 4
be the responsibility of	remain the responsibility of	legislation be the responsibility of Parliament	legislation remain the responsibility of Parliament	5 6 6 6 6	39 26 34 38 47
have a great influence on	have a major impact on	Parents have a great influence on the career development of their children	Parents have a major impact on the career development of their children	6 6 6 5 5	43 44 35 6 45
rely on	refer to	Judges rely on the information	Judges refer to the information	6 4 5 2 7	0 1 2 20 4
marry for	strip for	Lewis marry for the first time	Lewis strip for the first time	1 1 1 2 3	34 27 23 36 45
get a lot of	get ton of	Stu get a lot of things	Stu get ton of things	5 6 7 6 5	14 50 9 8 48
object to	be opposed to	Buyer object to such conditions	Buyer be opposed to such conditions	1 6 6 5 5	43 35 13 36 45
major in	study	Students major in Communication	Students study Communication	3 6 3 4 5	39 43 12 15 48
command	direct	God command Moses	God direct Moses	5 5 6 5 6	39 5 7 20 8
compliment	match	the color of the dress compliment her skin tone	the color of the dress match her skin tone	6 6 5 6 4	43 44 6 35 45
happen through	arise through	experience happen through trial and error	experience arise through trial and error	6 6 6 6 6	47 41 2 22 49
abandon	settle in	the entrepreneur abandon the property	the entrepreneur settle in the property	1 2 5 1 1	16 17 10 15 25
be something with	wont work on	the search engines be something with many variables	the search engines wont work on many variables	1 2 2 1 1	13 6 14 15 25
be required by	be restricted by	Javascript be required by this system	Javascript be restricted by this system	1 1 2 2 5	41 42 51 37 49
sleep at	go at	Jesus sleep at the back of the boat	Jesus go at the back of the boat	3 3 3 5 3	38 42 18 19 10
manufacture	analyze	the companies manufacture the helicopter	the companies analyze the helicopter	3 2 2 2 1	39 7 11 8 9
break with	become leader of	our forefathers break with Britain	our forefathers become leader of Britain	3 2 2 2 6	38 14 17 18 19
contain link to	be a collection of	Web Site contain link to other Web Sites	Web Site be a collection of other Web Sites	6 5 5 5 5	16 2 22 37 49
constitute	form	this article constitute legal advice	this article form legal advice	6 6 5 5 2	41 16 51 2 37
have the face of	laugh like	The boy have the face of an angel	The boy laugh like an angel	2 6 1 1 2	39 43 12 15 48
update	change	the search engines update their information	the search engines change their information	4 5 5 6 5	51 1 22 32 4
become known as	be called	This event become known as Bloody Sunday	This event be called Bloody Sunday	3 5 6 6 6	38 42 18 19 10
last for	be for	pelvic pain last for months	pelvic pain be for months	6 5 6 6 5	5 14 11 9 48
be target for	have zero tolerance for	these genes be target for new therapies	these genes have zero tolerance for new therapies	2 1 1 1 2	0 41 51 2 22
be more fond of	happen to enjoy	The Mongols be more fond of paper money	The Mongols happen to enjoy paper money	6 5 6 6 5	58 7 50 8 9
be difficult to	be ok to	the language be difficult to him	the language be ok to him	3 3 2 2 5	38 42 17 18 19
be composed of	consist of	the Chinese language be composed of characters	the Chinese language consist of characters	5 6 2 6 5	22 21 37 20 49
take a stroll through	venture into	the Prince take a stroll through the castle	the Prince venture into the castle	3 4 4 3 3	39 34 47 38 5
feature lot of	have lot of	the City feature lot of blogs	the City have lot of blogs	5 5 6 6 4	39 5 43 12 48
reiterate	be criticized for	Amnesty International reiterate its call	Amnesty International be criticized for its call	2 2 2 1 5	0 51 21 52 4
appear to	announce to	God appear to Cornelius	God announce to Cornelius	5 3 5 4 3	40 14 50 9 48
confirm	decline to comment	The IRS confirm the decision	The IRS decline to comment the decision	1 2 1 1 1	7 11 50 8 9
be admitted	be shot	many students be admitted each year	many students be shot each year	6 1 1 1 6	47 0 1 2 4
say in	tell the associated press in	The judge say in his ruling	The judge tell the associated press in his ruling	5 5 5 2 6	6 7 10 11 8
be performed in	perform in	the procedure be performed in two steps	the procedure perform in two steps	1 5 6 2 5	16 0 22 37 49
have a great influence on	play a major role in	His life have a great influence on others	His life play a major role in others	1 3 6 2 6	47 38 16 37 49
enter into	have nothing to do with	This research enter into your decision	This research have nothing to do with your decision	3 2 1 1 2	14 11 50 9 48
be important for	be critical to	Support groups be important for families	Support groups be critical to families	3 5 6 5 2	38 42 18 19 10
tease	miss	The guys tease their fans	The guys miss their fans	1 6 1 2 3	34 27 29 36 45
start in	be expected to commence in	Building start in November	Building be expected to commence in November	6 6 6 5 5	34 27 29 36 45
prepare for	celebrate	The Bagger prepare for Sundance	The Bagger celebrate Sundance	3 1 2 5 6	38 16 17 18 19
refuse to	choose to	members of Congress refuse to seat	members of Congress choose to seat	2 6 1 1 2	0 16 51 2 37
talk a more about	write a blog on	Ill talk a more about that later	Ill write a blog on that later	3 1 4 3 5	38 16 42 18 19
get on	climb on	the crew get on stage	the crew climb on stage	5 6 6 3 4	6 7 10 8 9
be an avid reader of	be a regular reader of	Bob Dylan be an avid reader of history	Bob Dylan be a regular reader of history	4 1 5 5 2	0 16 2 22 37
leave for	go home for	Marx leave for the proletarian movement	Marx go home for the proletarian movement	1 6 1 5 3	34 28 35 29 36
be a substitute for	be construed as	this web site be a substitute for medical advice	this web site be construed as medical advice	3 5 2 5 5	38 42 18 19 10
be a sequence of	be a set of	The entire program be a sequence of steps	The entire program be a set of steps	6 5 6 6 5	34 35 29 46 36
look over at	walk over to	Lisa look over at Brad	Lisa walk over to Brad	2 1 1 2 6	0 51 1 22 4
gain	obtain	the Allies gain the upper hand	the Allies obtain the upper hand	6 6 4 6 4	16 31 37 10 32
smile at	whisper to	'She smile at him	'She whisper to him	6 2 2 3 5	16 21 18 10 49
fail to file	be signed by	The claimant fail to file a motion	a motion be signed by The claimant	2 1 1 2 2	39 34 47 38 5
select	pursue	The player select the game	The player pursue the game	3 4 4 4 5	41 0 2 22 49
want to be	pretend to be	A friend of mine want to be a musician	A friend of mine pretend to be a musician	1 5 2 6 6	30 31 3 32 33
be prescribed for	help treat	Antibiotics be prescribed for infections	Antibiotics help treat infections	6 6 5 3 5	43 44 6 35 45
end up make	make	Google end up make billions	Google make billions	5 6 6 7 6	0 51 22 52 4
sit in	stand at	the participants sit in a circle	the participants stand at a circle	2 3 3 2 3	58 7 50 8 9
marry	wed	Noe Schitt marry Ted Sherlock	Noe Schitt wed Ted Sherlock	7 7 2 7 4	22 1 3 23 4
make this for	come home for	our daughter make this for him	our daughter come home for him	1 6 3 1 3	43 44 6 35 45
be given	be offered	each of us be given a special gift	each of us be offered a special gift	6 6 2 3 4	34 27 36 56 45
marry in	be resident of	a non-Catholic marry in the Church	a non-Catholic be resident of the Church	3 3 4 1 1	39 5 43 44 12
test	launch	gamers test their skills	gamers launch their skills	3 3 5 5 6	39 5 7 20 8
bear	retire	Each party bear its own legal costs	Each party retire its own legal costs	6 1 1 1 2	34 28 35 29 36
produce	manufacture	These technologies produce contaminants	These technologies manufacture contaminants	7 6 6 6 4	13 11 24 15 25
be related to	be different from	Hopelessness be related to depression	Hopelessness be different from depression	3 1 3 5 2	38 47 42 19 10
be compensated by	be independent from	Bush be compensated by Dubai	Bush be independent from Dubai	6 2 1 1 5	47 0 2 1 4
be clear from	relate to	every thing be clear from the beginning	every thing relate to the beginning	3 3 5 4 6	39 5 7 20 8
leave for	travel to	Vallejo leave for Paris	Vallejo travel to Paris	5 5 6 2 5	41 51 21 37 49
execute	carry out	All processors execute the same program	All processors carry out the same program	4 5 6 7 6	16 17 10 15 25
be found outside of	be found inside	salvation be found outside of the church	salvation be found inside the church	1 1 1 1 2	58 14 50 8 48
prefer	be a fan of	elephants prefer peanuts	elephants be a fan of peanuts	6 6 6 7 5	40 12 11 9 48
